,Value
Total Return (%),69.45423932198429
Benchmark Return (%),18.377579436795166
Annualized Return (%),70.17072838445819
Benchmark Annualized (%),18.53745835648757
Volatility (%),21.176822279299053
Sharpe Ratio,2.429079248432967
Sortino Ratio,3.068712886682392
Max Drawdown (%),-18.07926228524361
Beta,1.0225925185642628
Alpha (%),36.169471180384974
Win Rate (%),61.199999999999996
Profit Factor,1.662303738443737
